text,category
"My payment failed but the amount was deducted",Payment Failed
"Payment went through but booking did not confirm",Payment Failed
"I was charged twice for the same ride",Payment Failed
"My refund has not been processed yet",Payment Failed
"Payment error occurred during checkout",Payment Failed
"Transaction failed but money was taken",Payment Failed
"Payment declined despite having sufficient balance",Payment Failed
"My invoice is showing wrong amount",Payment Failed
"I cannot make a payment using card",Payment Failed
"Payment gateway is not working",Payment Failed
"I got charged but ride was cancelled",Payment Failed
"Double billing for my last trip",Payment Failed
"Failed to apply promo during payment",Payment Failed
"Payment screen keeps freezing",Payment Failed
"Payment method not accepted",Payment Failed
"The app crashes every time I open it",App Crash
"The app freezes on the login screen",App Crash
"Booking screen crashes when selecting date",App Crash
"App closes unexpectedly when checking promotions",App Crash
"The app crashes after entering payment info",App Crash
"App crashes when uploading documents",App Crash
"The ride request crashes app",App Crash
"App crashes when GPS is turned on",App Crash
"App shuts down on start",App Crash
"App crashes during login",App Crash
"The app stops responding randomly",App Crash
"App crashes when accessing profile",App Crash
"App crashes after update",App Crash
"The app crashes while booking multiple rides",App Crash
"App closes unexpectedly when browsing history",App Crash
"I left my phone in the cab and cannot reach the driver",Lost Item
"I forgot my bag in the car",Lost Item
"Lost sunglasses during ride",Lost Item
"My wallet was left in the cab",Lost Item
"My jacket is missing from the ride",Lost Item
"I left my keys in the vehicle",Lost Item
"Lost umbrella in the ride",Lost Item
"My backpack was forgotten in the car",Lost Item
"Left headphones in taxi",Lost Item
"My documents were left behind",Lost Item
"I left my coat in the cab",Lost Item
"Lost my bag after exiting ride",Lost Item
"Forgot phone charger in vehicle",Lost Item
"Left grocery bag in the car",Lost Item
"My parcel was left in the ride",Lost Item
"I was billed even though the ride was cancelled",Billing
"My invoice shows incorrect amount",Billing
"Extra charge on last ride",Billing
"Billing screen shows error",Billing
"I was charged for cancelled trip",Billing
"Incorrect fare calculated for my ride",Billing
"Billing summary not updated",Billing
"My payment receipt is missing",Billing
"I was overcharged for my last ride",Billing
"Billing details not reflecting discount",Billing
"Charged twice for one ride",Billing
"Invoice amount does not match",Billing
"Fare discrepancy in last ride",Billing
"My subscription billing failed",Billing
"Billing info not syncing",Billing
"My promo code is not applying at checkout",Promo Missing
"Discount code not recognized",Promo Missing
"My promotional credits are missing",Promo Missing
"Promo code expired but should work",Promo Missing
"Applied promo not reflected in fare",Promo Missing
"Cannot use promo code",Promo Missing
"Promo discount not applied",Promo Missing
"My coupon is missing",Promo Missing
"Promo benefits not added to account",Promo Missing
"Promo code not valid",Promo Missing
"My promotion not applied",Promo Missing
"Promo code failed",Promo Missing
"Promo not working on my ride",Promo Missing
"Promotion not received",Promo Missing
"Discount missing on last booking",Promo Missing
